25/01/2010 12:21:17 : Starting build.
25/01/2010 12:22:00 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c13__teeth_and_things_boy.pdf
25/01/2010 12:22:01 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c14__school_life_and_me.pdf
25/01/2010 12:22:01 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c15__watches_and_funny_feelings.pdf
25/01/2010 12:22:02 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c16__all_around_me.pdf
25/01/2010 12:22:02 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c17__food_and_things.pdf
25/01/2010 12:22:03 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c18__reading_and_singing.pdf
25/01/2010 12:22:03 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c19__travelling_leisure_and_school.pdf
25/01/2010 12:22:04 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c20__girls_experiences_thoughts_and_behaviour.pdf
25/01/2010 12:22:05 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c51__year11_young_people.pdf
25/01/2010 12:22:05 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c52__you_and_your_friends.pdf
25/01/2010 12:22:06 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q21__life_of_a_teenager.pdf
25/01/2010 12:22:07 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q22__Life_of_a_16_plus_Teenager.pdf
25/01/2010 12:22:09 : Extracting : R:\data\documentation\quest_pdf\school\ques_s01__childs_behaviour_and_abilities.pdf
25/01/2010 12:22:10 : Extracting : R:\data\documentation\quest_pdf\school\ques_s02__about_your_class_2000.pdf
25/01/2010 12:22:10 : Extracting : R:\data\documentation\quest_pdf\school\ques_s03__about_your_school_2000.pdf
25/01/2010 12:22:11 : Extracting : R:\data\documentation\quest_pdf\school\ques_s04__year4_maths_teacher_booklet.pdf
25/01/2010 12:22:11 : Extracting : R:\data\documentation\quest_pdf\school\ques_s05__The_developing_child.pdf
25/01/2010 12:22:12 : Extracting : R:\data\documentation\quest_pdf\school\ques_s06__questionnaire_for_the_class_teacher.pdf
25/01/2010 12:22:12 : Extracting : R:\data\documentation\quest_pdf\school\ques_s07__questionnaire_for_the_head_teacher.pdf
25/01/2010 12:22:13 : Extracting : R:\data\documentation\quest_pdf\school\ques_s08__year6_maths_teacher_guide.pdf
25/01/2010 12:22:13 : Extracting : R:\data\documentation\quest_pdf\school\ques_s09__year6_science.pdf
25/01/2010 12:22:14 : Extracting : R:\data\documentation\quest_pdf\school\ques_s10__Year6_spelling.pdf
25/01/2010 12:22:14 : Extracting : R:\data\documentation\quest_pdf\school\ques_s11__year7_maths_teacher.pdf
25/01/2010 12:22:14 : Extracting : R:\data\documentation\quest_pdf\school\ques_s13__SL_Maths_Teacher_2005.pdf
25/01/2010 12:22:15 : Extracting : R:\data\documentation\quest_pdf\focus\Focus07_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\Focus08_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\Focus09_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\Focus10_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\Focus11_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\TF1_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\TF2_intro.pdf
25/01/2010 12:22:16 : Extracting : R:\data\documentation\quest_pdf\focus\TF3_v1.pdf
25/01/2010 12:22:17 : Creating Index
25/01/2010 12:22:22 :   Total PDF files in all directories : 84
25/01/2010 12:22:22 :   Total new files : 84
25/01/2010 12:22:22 :   Total pages indexed : 1778
25/01/2010 12:22:22 :   Total number of files skipped : 0
25/01/2010 12:22:22 :   Total deleted files : 0
25/01/2010 12:22:22 : Index build successful.

