25/01/2010 12:07:55 : Starting build.
25/01/2010 12:13:51 : Extracting : R:\data\documentation\built_pdf\school\SF.pdf
25/01/2010 12:13:56 : Extracting : R:\data\documentation\built_pdf\school\SG.pdf
25/01/2010 12:14:02 : Extracting : R:\data\documentation\built_pdf\school\SH.pdf
25/01/2010 12:14:05 : Extracting : R:\data\documentation\built_pdf\school\SK.pdf
25/01/2010 12:14:09 : Creating Index
25/01/2010 12:14:50 :   Total PDF files in all directories : 70
25/01/2010 12:14:50 :   Total new files : 70
25/01/2010 12:14:50 :   Total pages indexed : 10533
25/01/2010 12:14:50 :   Total number of files skipped : 0
25/01/2010 12:14:50 :   Total deleted files : 0
25/01/2010 12:14:50 : Index build successful.

25/01/2010 13:56:16 : Starting rebuild
25/01/2010 13:56:16 : Deleting files from current index
25/01/2010 13:56:16 : Deleting : R:\data\documentation\Indexes\Child_Documentation_Index\index.idx
25/01/2010 13:56:16 : Deleting : R:\data\documentation\Indexes\Child_Documentation_Index\index1.idx
25/01/2010 13:56:16 : Searching : R:\data\documentation\built_pdf\childb\
25/01/2010 13:56:16 : Searching : R:\data\documentation\built_pdf\childc\
25/01/2010 13:56:17 : Searching : R:\data\documentation\built_pdf\focus\
25/01/2010 13:56:17 : Searching : R:\data\documentation\built_pdf\puberty\
25/01/2010 13:56:18 : Searching : R:\data\documentation\built_pdf\school\
25/01/2010 13:56:18 : Indexing 70 files
25/01/2010 13:56:18 : Extracting : R:\data\documentation\built_pdf\childb\ka.pdf
25/01/2010 13:56:22 : Extracting : R:\data\documentation\built_pdf\childb\kb.pdf
25/01/2010 13:56:34 : Extracting : R:\data\documentation\built_pdf\childb\kc.pdf
25/01/2010 13:56:40 : Extracting : R:\data\documentation\built_pdf\childb\kd.pdf
25/01/2010 13:56:45 : Extracting : R:\data\documentation\built_pdf\childb\ke.pdf
25/01/2010 13:56:51 : Extracting : R:\data\documentation\built_pdf\childb\kf.pdf
25/01/2010 13:56:54 : Extracting : R:\data\documentation\built_pdf\childb\kg.pdf
25/01/2010 13:57:06 : Extracting : R:\data\documentation\built_pdf\childb\kj.pdf
25/01/2010 13:57:10 : Extracting : R:\data\documentation\built_pdf\childb\KK.pdf
25/01/2010 13:57:17 : Extracting : R:\data\documentation\built_pdf\childb\kl.pdf
25/01/2010 13:57:27 : Extracting : R:\data\documentation\built_pdf\childb\km.pdf
25/01/2010 13:57:37 : Extracting : R:\data\documentation\built_pdf\childb\kn.pdf
25/01/2010 13:57:45 : Extracting : R:\data\documentation\built_pdf\childb\kp.pdf
25/01/2010 13:57:55 : Extracting : R:\data\documentation\built_pdf\childb\kq.pdf
25/01/2010 13:58:06 : Extracting : R:\data\documentation\built_pdf\childb\kr.pdf
25/01/2010 13:58:23 : Extracting : R:\data\documentation\built_pdf\childb\ks.pdf
25/01/2010 13:58:29 : Extracting : R:\data\documentation\built_pdf\childb\kt.pdf
25/01/2010 13:58:37 : Extracting : R:\data\documentation\built_pdf\childb\ku.pdf
25/01/2010 13:58:47 : Extracting : R:\data\documentation\built_pdf\childb\kv.pdf
25/01/2010 13:58:55 : Extracting : R:\data\documentation\built_pdf\childb\kw.pdf
